model,accuracy,precision,recall,f1_score
LogisticRegression,0.6280487804878049,0.3944452706722189,0.6280487804878049,0.4845619804512652
DecisionTreeClassifier,0.573170731707317,0.5803825964975792,0.573170731707317,0.5762640609130266
RandomForestClassifier,0.6707317073170732,0.656770116337293,0.6707317073170732,0.6422117601414619
GaussianNB,0.6310975609756098,0.6002868640726541,0.6310975609756098,0.58368056888467
GradientBoostingClassifier,0.6692073170731707,0.6580138905308681,0.6692073170731707,0.6292368724849342
AdaBoostClassifier,0.6387195121951219,0.6625786121158643,0.6387195121951219,0.5206264902637215
SVC,0.6920731707317073,0.6901872966098082,0.6920731707317073,0.6571450077313042
KNeighborsClassifier,0.6310975609756098,0.619427568092578,0.6310975609756098,0.6226733863461213
